year,count
2024,1286185
2023,3850082
2022,1891323
2021,1505168
2020,2244217
2019,2212601
2018,2339870
2017,1822991
2016,1126030
2015,412051
2014,715327
2013,395591
2012,361738
2011,529913
2010,324219
2009,402958
2008,325692
2007,113068
2006,115228
2005,100129
2004,45413
2003,115931
2002,49680
2001,11834
2000,40842
1999,12784
1998,11459
1997,5137
1996,5386
1995,4552
1994,90582
1993,2655
1992,4146
1991,1967
1990,4868
1989,4554
1988,3232
1987,2108
1986,1329
1985,869
1984,5882
1983,1282
1982,1456
1981,1466
1980,1191
1979,1102
1978,902
1977,2534
1976,1101
1975,1630
1974,2468
1973,656
1972,90
1971,375
1970,20
1969,7
1968,3
1967,2
1966,4
1965,3
1964,1
1963,2
1962,0
1961,4
1960,2
1959,0
1958,1
1957,0
1956,0
1955,0
1954,2
1953,0
1952,1
1951,0
1950,0
1949,7
1948,0
1947,0
1946,0
1945,0
1944,6
1943,0
1942,0
1941,0
1940,0
1939,0
1938,0
1937,0
1936,0
1935,0
1934,0
1933,4
1932,0
1931,1
1930,1
1929,0
1928,0
1927,0
1926,2
1925,0
1924,0
1923,0
1922,1
1921,0
1920,0
1919,0
1918,0
1917,0
1916,0
1915,0
1914,0
1913,0
1912,0
1911,1
1910,0
1909,6
1908,0
1907,0
1906,1
1905,0
1904,0
1903,0
1902,2
1901,0
1900,1
1899,0
1898,0
1897,0
1896,0
1895,0
1894,1
1893,0
1892,0
1891,0
1890,0
1889,0
1888,0
1887,0
1886,0
1885,0
1884,0
1883,0
1882,0
1881,0
1880,0
1879,0
1878,0
1877,0
1876,0
1875,0
1874,0
1873,0
1872,0
1871,0
1870,0
1869,0
1868,0
1867,0
1866,0
1865,0
1864,0
1863,0
1862,0
1861,0
1860,0
1859,0
1858,0
1857,0
1856,0
1855,0
1854,0
1853,0
1852,0
1851,0
1850,0
1849,0
1848,0
1847,0
1846,0
1845,0
1844,0
1843,0
1842,0
1841,0
1840,0
1839,0
1838,0
1837,0
1836,0
1835,0
1834,0
1833,0
1832,0
1831,0
1830,0
1829,0
1828,0
1827,0
1826,0
1825,0
1824,0
1823,0
1822,0
1821,0
1820,0
1819,0
1818,0
1817,0
1816,0
1815,0
1814,0
1813,0
1812,0
1811,0
1810,0
1809,0
1808,0
1807,0
1806,0
1805,0
1804,0
1803,0
1802,0
1801,0
